,RANK,BATTLES,WIN,LOSE,DRAW,SCORE,file,v_0
7,-138,55,25,20,,2,iCloud Photos\IMG_3107.PNG,FALSE
8,139,34,20,,,241,iCloud Photos\IMG_3107.PNG,FALSE
9,140,27,,,,241,iCloud Photos\IMG_3107.PNG,FALSE
0,141,37,29,14,,240,iCloud Photos\IMG_3108.PNG,FALSE
1,142,39,25,1,,240,iCloud Photos\IMG_3108.PNG,FALSE
2,143,84,25,3,,240,iCloud Photos\IMG_3108.PNG,FALSE
3,144,65,52,32,,239,iCloud Photos\IMG_3108.PNG,FALSE
4,0.145,40,29,24,,239,iCloud Photos\IMG_3108.PNG,FALSE
5,16,15,4,10,,239,iCloud Photos\IMG_3108.PNG,FALSE
6,147,105,60,42,,238,iCloud Photos\IMG_3108.PNG,FALSE
7,-148,64,42,25,,238,iCloud Photos\IMG_3108.PNG,FALSE
8,149,52,34,16,,238,iCloud Photos\IMG_3108.PNG,FALSE
9,150,,,,,238,iCloud Photos\IMG_3108.PNG,TRUE
0,1,310,162,143,,237,iCloud Photos\IMG_3109.PNG,FALSE
1,152,147,86,1,,235,iCloud Photos\IMG_3109.PNG,FALSE
2,1,116,68,7,,235,iCloud Photos\IMG_3109.PNG,FALSE
3,154,107,49,53,,235,iCloud Photos\IMG_3109.PNG,FALSE
4,155,80,43,37,,235,iCloud Photos\IMG_3109.PNG,FALSE
5,156,64,32,22,,235,iCloud Photos\IMG_3109.PNG,FALSE
6,157,50,31,17,,235,iCloud Photos\IMG_3109.PNG,FALSE
7,0.158,55,7,21,,235,iCloud Photos\IMG_3109.PNG,FALSE
8,159,41,7,12,,235,iCloud Photos\IMG_3109.PNG,FALSE
9,160,30,,,,235,iCloud Photos\IMG_3109.PNG,FALSE
0,161,195,12,81,10,234,iCloud Photos\IMG_3110.PNG,FALSE
1,162,19,1,70,,234,iCloud Photos\IMG_3110.PNG,FALSE
2,163,28,2,38,,234,iCloud Photos\IMG_3110.PNG,FALSE
3,164,196,12,26,,233,iCloud Photos\IMG_3110.PNG,FALSE
4,165,12,100,23,,233,iCloud Photos\IMG_3110.PNG,FALSE
5,166,95,51,32,,233,iCloud Photos\IMG_3110.PNG,FALSE
6,167,53,46,9,,233,iCloud Photos\IMG_3110.PNG,FALSE
7,-168,84,38,,,233,iCloud Photos\IMG_3110.PNG,FALSE
8,169,213,50,,,232,iCloud Photos\IMG_3110.PNG,FALSE
9,170,,12,,,231,iCloud Photos\IMG_3110.PNG,FALSE
0,-772,127,7,51,,231,iCloud Photos\IMG_3111.PNG,FALSE
1,173,94,55,36,,231,iCloud Photos\IMG_3111.PNG,FALSE
2,174,91,53,35,,231,iCloud Photos\IMG_3111.PNG,FALSE
3,0.175,68,4,24,,231,iCloud Photos\IMG_3111.PNG,FALSE
4,6,120,70,48,,230,iCloud Photos\IMG_3111.PNG,FALSE
5,-18,39,25,14,,230,iCloud Photos\IMG_3111.PNG,FALSE
6,79,5,93,27,,228,iCloud Photos\IMG_3111.PNG,FALSE
7,180,53,32,20,,228,iCloud Photos\IMG_3111.PNG,FALSE
8,,1,24,16,,228,iCloud Photos\IMG_3111.PNG,FALSE
9,,122,74,4,,227,iCloud Photos\IMG_3111.PNG,FALSE
0,181,125,57,55,,227,iCloud Photos\IMG_3112.PNG,FALSE
1,182,107,7,7,,227,iCloud Photos\IMG_3112.PNG,FALSE
2,183,57,36,20,,227,iCloud Photos\IMG_3112.PNG,FALSE
